公車代碼,站點名稱
0100001800,羅斯福潮州街口
0100001800,捷運中正紀念堂站(羅斯福)
0100001800,一女中(公園)
0100001800,捷運台大醫院站
0100001800,博物館(館前)
0100001800,臺北車站(開封)
0100001800,重慶南路一段
0100001800,二二八和平公園
0100001800,衡陽路
0100001800,西門市場(成都)
0100001800,西寧南路
0100001800,桂林昆明街口
0100001800,桂林路
0100001800,萬華分局
0100001800,龍山國小
0100001800,華江派出所
0100001800,力霸社區
0100001800,華江站
0100002000,永春高中
0100002000,松山商職(松山)
0100002000,國業里
0100002000,國稅局宿舍
0100002000,捷運象山站
0100002000,信義松仁路口(松仁)
0100002000,松壽路口
0100002000,市政府(松壽)
0100002000,世貿中心(基隆路)
0100002000,信義光復路口
0100002000,信義通化街口
0100002000,捷運信義安和站(信義)
0100002000,信義敦化路口
0100002000,信義大安路口
0100002000,捷運大安站(信義)
0100002000,師大附中
0100002000,信義建國路口
0100002000,捷運大安森林公園站
0100002000,信義新生路口
0100002000,信義永康街口
0100002000,捷運東門站
0100002000,信義杭州路口
0100002000,中正紀念堂
0100002000,捷運台大醫院站
0100002000,博物館(襄陽)
0100002000,衡陽路口
0100002000,衡陽路
0100002000,捷運西門站
0100002000,小南門
0100002000,聯合醫院和平院區
0100002000,大埔街
0100002000,廈安里
0100002000,南機場公寓
0100002000,中華南海路口
0100002000,國興路口
0100002000,古亭國中
0100002000,萬華醫院
0100002000,青年公園(交通教學區)
0100002000,青年公園(馬場町)
0100002000,青年社宅
0100002000,青年路
0100002000,中正新城
0100002000,青年社區
0100002000,青年公園(青年)
0100002000,青年公園(國興)
0100002000,國興路口一
0100002000,國興路口
0100002000,中華南海路口
0100002000,南機場公寓
0100002000,廈安里
0100002000,大埔街
0100002000,聯合醫院和平院區
0100002000,小南門
0100002000,捷運西門站
0100002000,寶慶路
0100002000,衡陽路口
0100002000,博物館(襄陽)
0100002000,捷運台大醫院站
0100002000,中正紀念堂
0100002000,信義杭州路口
0100002000,捷運東門站
0100002000,信義永康街口(捷運東門站)
0100002000,信義新生路口
0100002000,捷運大安森林公園站
0100002000,信義建國路口
0100002000,捷運大安站(信義)
0100002000,信義大安路口
0100002000,信義敦化路口
0100002000,捷運信義安和站(信義)
0100002000,信義通化街口
0100002000,信義光復路口
0100002000,世貿中心(基隆路)
0100002000,市政府(松壽)
0100002000,松壽路口
0100002000,信義松仁路口(松仁)
0100002000,捷運象山站
0100002000,國稅局宿舍
0100002000,松山商職(福德)
0100002000,永春高中
0100002100,捷運圓山站
0100002100,臺北市立美術館
0100002100,圓山大飯店
0100002100,中央電台
0100002100,忠烈祠
0100002100,經國七海文化園區
0100002100,堤頂大道口
0100002100,基湖站
0100002100,基湖路口
0100002100,仁寶大樓
0100002100,瑞光路393巷
0100002100,捷運港墘站(內湖高工)
0100002100,西湖圖書館(湖光教會)
