方向,公車代碼,站點名稱,緯度,經度
返程,0100000A00,新益里,25.062445,121.566269
返程,0100000A00,民權大橋,25.066876,121.5794778
返程,0100000A00,時報廣場,25.068084,121.5821211
返程,0100000A00,三民國中,25.068803,121.5854057
返程,0100000A00,內湖行政大樓,25.068934,121.5889192
返程,0100000A00,國防醫學中心,25.07121,121.5900311
返程,0100000A00,三總內湖站,25.071852,121.592095
返程,0100000A00,將軍嶺,25.073809,121.5900167
返程,0100000A00,方濟中學,25.076884,121.5902313
返程,0100000A00,內湖高中,25.079013,121.5883097
返程,0100000A00,捷運文德站(碧湖公園),25.078585,121.584249
返程,0100000A00,湖光國宅,25.07859,121.58078
返程,0100000A00,西湖圖書館(湖光教會),25.07889,121.578499
返程,0100000A00,港墘派出所,25.078636,121.57619
返程,0100000A00,瑞光路,25.074821,121.577343
返程,0100000A00,公館山,25.071988,121.5809507
返程,0100000A00,麗寶大樓,25.070391,121.582671
返程,0100000A00,瑞湖街口,25.067659,121.576798
